L1Seed,PileUp,Total,Prescale0,Fired0,
L1_AlwaysTrue,86,4343,0,0,
L1_AlwaysTrue,87,3620,0,0,
L1_AlwaysTrue,88,3162,0,0,
L1_AlwaysTrue,89,2849,0,0,
L1_AlwaysTrue,90,2352,0,0,
L1_AlwaysTrue,91,1895,0,0,
L1_AlwaysTrue,92,1693,0,0,
L1_AlwaysTrue,93,1300,0,0,
L1_AlwaysTrue,94,1116,0,0,
L1_AlwaysTrue,95,919,0,0,
L1_AlwaysTrue,96,720,0,0,
L1_AlwaysTrue,97,573,0,0,
L1_AlwaysTrue,98,450,0,0,
L1_AlwaysTrue,99,372,0,0,
L1_AlwaysTrue,100,301,0,0,
L1_AlwaysTrue,101,208,0,0,
L1_AlwaysTrue,102,175,0,0,
L1_AlwaysTrue,103,138,0,0,
L1_AlwaysTrue,104,81,0,0,
L1_AlwaysTrue,105,79,0,0,
L1_AlwaysTrue,106,58,0,0,
L1_AlwaysTrue,107,35,0,0,
L1_AlwaysTrue,108,35,0,0,
L1_AlwaysTrue,109,22,0,0,
L1_AlwaysTrue,110,18,0,0,
L1_AlwaysTrue,111,11,0,0,
L1_AlwaysTrue,112,3,0,0,
L1_AlwaysTrue,113,8,0,0,
L1_AlwaysTrue,114,1,0,0,
L1_AlwaysTrue,115,2,0,0,
L1_AlwaysTrue,116,2,0,0,
L1_AlwaysTrue,117,1,0,0,
L1_AlwaysTrue,118,2,0,0,
L1_BPTX_AND_Ref1_VME,11,1,0,0,
L1_BPTX_AND_Ref1_VME,12,1,0,0,
L1_BPTX_AND_Ref1_VME,13,6,0,0,
L1_BPTX_AND_Ref1_VME,14,13,0,0,
L1_BPTX_AND_Ref1_VME,15,40,0,0,
L1_BPTX_AND_Ref1_VME,16,61,0,0,
L1_BPTX_AND_Ref1_VME,17,131,0,0,
L1_BPTX_AND_Ref1_VME,18,196,0,0,
L1_BPTX_AND_Ref1_VME,19,369,0,0,
L1_BPTX_AND_Ref1_VME,20,554,0,0,
L1_BPTX_AND_Ref1_VME,21,894,0,0,
L1_BPTX_AND_Ref1_VME,22,1257,0,0,
L1_BPTX_AND_Ref1_VME,23,1801,0,0,
L1_BPTX_AND_Ref1_VME,24,2488,0,0,
L1_BPTX_AND_Ref1_VME,25,3360,0,0,
L1_BPTX_AND_Ref1_VME,26,4212,0,0,
L1_BPTX_AND_Ref1_VME,27,5258,0,0,
L1_BPTX_AND_Ref1_VME,28,6267,0,0,
L1_BPTX_AND_Ref1_VME,29,7494,0,0,
L1_BPTX_AND_Ref1_VME,30,8787,0,0,
L1_BPTX_AND_Ref1_VME,31,10034,0,0,
L1_BPTX_AND_Ref1_VME,32,10822,0,0,
L1_BPTX_AND_Ref1_VME,33,11891,0,0,
L1_BPTX_AND_Ref1_VME,34,12611,0,0,
L1_BPTX_AND_Ref1_VME,35,13494,0,0,
L1_BPTX_AND_Ref1_VME,36,13925,0,0,
L1_BPTX_AND_Ref1_VME,37,14344,0,0,
L1_BPTX_AND_Ref1_VME,38,15075,0,0,
L1_BPTX_AND_Ref1_VME,39,15171,0,0,
L1_BPTX_AND_Ref1_VME,40,15322,0,0,
L1_BPTX_AND_Ref1_VME,41,15535,0,0,
L1_BPTX_AND_Ref1_VME,42,15661,0,0,
L1_BPTX_AND_Ref1_VME,43,15655,0,0,
L1_BPTX_AND_Ref1_VME,44,15636,0,0,
L1_BPTX_AND_Ref1_VME,45,15745,0,0,
L1_BPTX_AND_Ref1_VME,46,15820,0,0,
L1_BPTX_AND_Ref1_VME,47,15553,0,0,
L1_BPTX_AND_Ref1_VME,48,15944,0,0,
L1_BPTX_AND_Ref1_VME,49,16118,0,0,
L1_BPTX_AND_Ref1_VME,50,15778,0,0,
L1_BPTX_AND_Ref1_VME,51,16040,0,0,
L1_BPTX_AND_Ref1_VME,52,15765,0,0,
L1_BPTX_AND_Ref1_VME,53,15927,0,0,
L1_BPTX_AND_Ref1_VME,54,15746,0,0,
L1_BPTX_AND_Ref1_VME,55,15822,0,0,
L1_BPTX_AND_Ref1_VME,56,15842,0,0,
L1_BPTX_AND_Ref1_VME,57,15726,0,0,
L1_BPTX_AND_Ref1_VME,58,15841,0,0,
L1_BPTX_AND_Ref1_VME,59,15676,0,0,
L1_BPTX_AND_Ref1_VME,60,15687,0,0,
L1_BPTX_AND_Ref1_VME,61,15952,0,0,
L1_BPTX_AND_Ref1_VME,62,15417,0,0,
L1_BPTX_AND_Ref1_VME,63,15535,0,0,
L1_BPTX_AND_Ref1_VME,64,15354,0,0,
L1_BPTX_AND_Ref1_VME,65,15273,0,0,
L1_BPTX_AND_Ref1_VME,66,15030,0,0,
L1_BPTX_AND_Ref1_VME,67,14804,0,0,
L1_BPTX_AND_Ref1_VME,68,14539,0,0,
L1_BPTX_AND_Ref1_VME,69,14428,0,0,
L1_BPTX_AND_Ref1_VME,70,13971,0,0,
L1_BPTX_AND_Ref1_VME,71,13525,0,0,
L1_BPTX_AND_Ref1_VME,72,12878,0,0,
L1_BPTX_AND_Ref1_VME,73,12760,0,0,
L1_BPTX_AND_Ref1_VME,74,12151,0,0,
L1_BPTX_AND_Ref1_VME,75,11463,0,0,
L1_BPTX_AND_Ref1_VME,76,10892,0,0,
L1_BPTX_AND_Ref1_VME,77,10048,0,0,
L1_BPTX_AND_Ref1_VME,78,9658,0,0,
L1_BPTX_AND_Ref1_VME,79,8988,0,0,
L1_BPTX_AND_Ref1_VME,80,8117,0,0,
L1_BPTX_AND_Ref1_VME,81,7424,0,0,
L1_BPTX_AND_Ref1_VME,82,6750,0,0,
L1_BPTX_AND_Ref1_VME,83,6092,0,0,
L1_BPTX_AND_Ref1_VME,84,5364,0,0,
L1_BPTX_AND_Ref1_VME,85,4847,0,0,
L1_BPTX_AND_Ref1_VME,86,4343,0,0,
L1_BPTX_AND_Ref1_VME,87,3620,0,0,
L1_BPTX_AND_Ref1_VME,88,3162,0,0,
L1_BPTX_AND_Ref1_VME,89,2849,0,0,
L1_BPTX_AND_Ref1_VME,90,2352,0,0,
L1_BPTX_AND_Ref1_VME,91,1895,0,0,
L1_BPTX_AND_Ref1_VME,92,1693,0,0,
L1_BPTX_AND_Ref1_VME,93,1300,0,0,
L1_BPTX_AND_Ref1_VME,94,1116,0,0,
L1_BPTX_AND_Ref1_VME,95,919,0,0,
L1_BPTX_AND_Ref1_VME,96,720,0,0,
L1_BPTX_AND_Ref1_VME,97,573,0,0,
L1_BPTX_AND_Ref1_VME,98,450,0,0,
L1_BPTX_AND_Ref1_VME,99,372,0,0,
L1_BPTX_AND_Ref1_VME,100,301,0,0,
L1_BPTX_AND_Ref1_VME,101,208,0,0,
L1_BPTX_AND_Ref1_VME,102,175,0,0,
L1_BPTX_AND_Ref1_VME,103,138,0,0,
L1_BPTX_AND_Ref1_VME,104,81,0,0,
L1_BPTX_AND_Ref1_VME,105,79,0,0,
L1_BPTX_AND_Ref1_VME,106,58,0,0,
L1_BPTX_AND_Ref1_VME,107,35,0,0,
L1_BPTX_AND_Ref1_VME,108,35,0,0,
L1_BPTX_AND_Ref1_VME,109,22,0,0,
L1_BPTX_AND_Ref1_VME,110,18,0,0,
L1_BPTX_AND_Ref1_VME,111,11,0,0,
L1_BPTX_AND_Ref1_VME,112,3,0,0,
L1_BPTX_AND_Ref1_VME,113,8,0,0,
L1_BPTX_AND_Ref1_VME,114,1,0,0,
L1_BPTX_AND_Ref1_VME,115,2,0,0,
L1_BPTX_AND_Ref1_VME,116,2,0,0,
L1_BPTX_AND_Ref1_VME,117,1,0,0,
L1_BPTX_AND_Ref1_VME,118,2,0,0,
L1_BPTX_AND_Ref3_VME,11,1,0,0,
L1_BPTX_AND_Ref3_VME,12,1,0,0,
L1_BPTX_AND_Ref3_VME,13,6,0,0,
L1_BPTX_AND_Ref3_VME,14,13,0,0,
L1_BPTX_AND_Ref3_VME,15,40,0,0,
L1_BPTX_AND_Ref3_VME,16,61,0,0,
L1_BPTX_AND_Ref3_VME,17,131,0,0,
L1_BPTX_AND_Ref3_VME,18,196,0,0,
L1_BPTX_AND_Ref3_VME,19,369,0,0,
L1_BPTX_AND_Ref3_VME,20,554,0,0,
L1_BPTX_AND_Ref3_VME,21,894,0,0,
L1_BPTX_AND_Ref3_VME,22,1257,0,0,
L1_BPTX_AND_Ref3_VME,23,1801,0,0,
L1_BPTX_AND_Ref3_VME,24,2488,0,0,
L1_BPTX_AND_Ref3_VME,25,3360,0,0,
L1_BPTX_AND_Ref3_VME,26,4212,0,0,
L1_BPTX_AND_Ref3_VME,27,5258,0,0,
L1_BPTX_AND_Ref3_VME,28,6267,0,0,
L1_BPTX_AND_Ref3_VME,29,7494,0,0,
L1_BPTX_AND_Ref3_VME,30,8787,0,0,
L1_BPTX_AND_Ref3_VME,31,10034,0,0,
L1_BPTX_AND_Ref3_VME,32,10822,0,0,
L1_BPTX_AND_Ref3_VME,33,11891,0,0,
L1_BPTX_AND_Ref3_VME,34,12611,0,0,
L1_BPTX_AND_Ref3_VME,35,13494,0,0,
L1_BPTX_AND_Ref3_VME,36,13925,0,0,
L1_BPTX_AND_Ref3_VME,37,14344,0,0,
L1_BPTX_AND_Ref3_VME,38,15075,0,0,
L1_BPTX_AND_Ref3_VME,39,15171,0,0,
L1_BPTX_AND_Ref3_VME,40,15322,0,0,
L1_BPTX_AND_Ref3_VME,41,15535,0,0,
L1_BPTX_AND_Ref3_VME,42,15661,0,0,
L1_BPTX_AND_Ref3_VME,43,15655,0,0,
L1_BPTX_AND_Ref3_VME,44,15636,0,0,
L1_BPTX_AND_Ref3_VME,45,15745,0,0,
L1_BPTX_AND_Ref3_VME,46,15820,0,0,
L1_BPTX_AND_Ref3_VME,47,15553,0,0,
L1_BPTX_AND_Ref3_VME,48,15944,0,0,
L1_BPTX_AND_Ref3_VME,49,16118,0,0,
L1_BPTX_AND_Ref3_VME,50,15778,0,0,
L1_BPTX_AND_Ref3_VME,51,16040,0,0,
L1_BPTX_AND_Ref3_VME,52,15765,0,0,
L1_BPTX_AND_Ref3_VME,53,15927,0,0,
L1_BPTX_AND_Ref3_VME,54,15746,0,0,
L1_BPTX_AND_Ref3_VME,55,15822,0,0,
L1_BPTX_AND_Ref3_VME,56,15842,0,0,
L1_BPTX_AND_Ref3_VME,57,15726,0,0,
L1_BPTX_AND_Ref3_VME,58,15841,0,0,
L1_BPTX_AND_Ref3_VME,59,15676,0,0,
L1_BPTX_AND_Ref3_VME,60,15687,0,0,
L1_BPTX_AND_Ref3_VME,61,15952,0,0,
L1_BPTX_AND_Ref3_VME,62,15417,0,0,
L1_BPTX_AND_Ref3_VME,63,15535,0,0,
L1_BPTX_AND_Ref3_VME,64,15354,0,0,
L1_BPTX_AND_Ref3_VME,65,15273,0,0,
L1_BPTX_AND_Ref3_VME,66,15030,0,0,
L1_BPTX_AND_Ref3_VME,67,14804,0,0,
L1_BPTX_AND_Ref3_VME,68,14539,0,0,
L1_BPTX_AND_Ref3_VME,69,14428,0,0,
L1_BPTX_AND_Ref3_VME,70,13971,0,0,
L1_BPTX_AND_Ref3_VME,71,13525,0,0,
L1_BPTX_AND_Ref3_VME,72,12878,0,0,
L1_BPTX_AND_Ref3_VME,73,12760,0,0,
L1_BPTX_AND_Ref3_VME,74,12151,0,0,
L1_BPTX_AND_Ref3_VME,75,11463,0,0,
L1_BPTX_AND_Ref3_VME,76,10892,0,0,
L1_BPTX_AND_Ref3_VME,77,10048,0,0,
L1_BPTX_AND_Ref3_VME,78,9658,0,0,
L1_BPTX_AND_Ref3_VME,79,8988,0,0,
L1_BPTX_AND_Ref3_VME,80,8117,0,0,
L1_BPTX_AND_Ref3_VME,81,7424,0,0,
L1_BPTX_AND_Ref3_VME,82,6750,0,0,
L1_BPTX_AND_Ref3_VME,83,6092,0,0,
L1_BPTX_AND_Ref3_VME,84,5364,0,0,
L1_BPTX_AND_Ref3_VME,85,4847,0,0,
L1_BPTX_AND_Ref3_VME,86,4343,0,0,
L1_BPTX_AND_Ref3_VME,87,3620,0,0,
L1_BPTX_AND_Ref3_VME,88,3162,0,0,
L1_BPTX_AND_Ref3_VME,89,2849,0,0,
L1_BPTX_AND_Ref3_VME,90,2352,0,0,
L1_BPTX_AND_Ref3_VME,91,1895,0,0,
L1_BPTX_AND_Ref3_VME,92,1693,0,0,
L1_BPTX_AND_Ref3_VME,93,1300,0,0,
L1_BPTX_AND_Ref3_VME,94,1116,0,0,
L1_BPTX_AND_Ref3_VME,95,919,0,0,
L1_BPTX_AND_Ref3_VME,96,720,0,0,
L1_BPTX_AND_Ref3_VME,97,573,0,0,
L1_BPTX_AND_Ref3_VME,98,450,0,0,
L1_BPTX_AND_Ref3_VME,99,372,0,0,
L1_BPTX_AND_Ref3_VME,100,301,0,0,
L1_BPTX_AND_Ref3_VME,101,208,0,0,
L1_BPTX_AND_Ref3_VME,102,175,0,0,
L1_BPTX_AND_Ref3_VME,103,138,0,0,
L1_BPTX_AND_Ref3_VME,104,81,0,0,
L1_BPTX_AND_Ref3_VME,105,79,0,0,
L1_BPTX_AND_Ref3_VME,106,58,0,0,
L1_BPTX_AND_Ref3_VME,107,35,0,0,
L1_BPTX_AND_Ref3_VME,108,35,0,0,
L1_BPTX_AND_Ref3_VME,109,22,0,0,
L1_BPTX_AND_Ref3_VME,110,18,0,0,
L1_BPTX_AND_Ref3_VME,111,11,0,0,
L1_BPTX_AND_Ref3_VME,112,3,0,0,
L1_BPTX_AND_Ref3_VME,113,8,0,0,
L1_BPTX_AND_Ref3_VME,114,1,0,0,
L1_BPTX_AND_Ref3_VME,115,2,0,0,
L1_BPTX_AND_Ref3_VME,116,2,0,0,
L1_BPTX_AND_Ref3_VME,117,1,0,0,
L1_BPTX_AND_Ref3_VME,118,2,0,0,
L1_BPTX_AND_Ref4_VME,11,1,0,0,
L1_BPTX_AND_Ref4_VME,12,1,0,0,
L1_BPTX_AND_Ref4_VME,13,6,0,0,
